PassengerId,Survived
896,1
899,0
899,0
901,0
901,0
903,0
903,0
905,0
905,0
907,1
907,1
908,0
914,0
914,0
914,0
917,0
920,0
920,0
920,0
921,0
921,0
922,0
922,0
923,0
923,0
923,0
924,0
924,0
925,0
925,0
932,0
933,0
933,0
935,0
938,0
938,0
941,0
943,0
944,1
944,1
946,0
947,0
947,0
950,0
953,0
957,1
957,1
960,0
960,0
965,0
965,0
969,0
969,0
970,0
972,0
974,0
974,0
976,0
977,0
981,0
981,0
982,0
986,0
986,0
993,0
993,0
997,0
997,0
1001,0
1002,0
1004,0
1004,0
1004,0
1007,0
1009,1
1011,1
1011,1
1012,1
1017,1
1019,1
1019,1
1020,0
1023,0
1023,0
1024,0
1024,0
1029,0
1035,0
1035,0
1036,0
1036,0
1037,0
1040,0
1040,0
1041,0
1041,0
1045,1
1046,0
1046,0
1046,0
1050,0
1050,0
1051,0
1053,0
1054,1
1056,0
1057,1
1057,1
1059,0
1059,0
1059,0
1060,1
1060,1
1064,0
1066,0
1066,0
1066,0
1067,1
1067,1
1067,1
1068,1
1068,1
1068,1
1070,1
1070,1
1070,1
1072,0
1077,0
1078,1
1078,1
1081,0
1082,0
1082,0
1083,0
1083,0
1084,0
1085,0
1086,0
1086,0
1086,0
1090,0
1092,1
1093,0
1095,1
1095,1
1096,0
1097,0
1097,0
1099,0
1100,0
1100,0
1102,0
1102,0
1105,1
1105,1
1112,0
1114,0
1116,0
1116,0
1117,0
1120,0
1121,0
1123,1
1123,1
1130,0
1132,1
1132,1
1133,1
1133,1
1133,1
1136,0
1136,0
1138,1
1138,1
1139,0
1139,0
1139,0
1140,1
1140,1
1141,0
1142,1
1142,1
1150,0
1152,0
1154,0
1154,0
1155,0
1156,0
1165,0
1167,0
1167,0
1168,0
1169,0
1169,0
1170,0
1170,0
1171,0
1173,0
1175,1
1176,1
1176,1
1182,0
1182,0
1182,0
1189,0
1189,0
1193,0
1194,0
1194,0
1197,0
1197,0
1201,0
1209,0
1211,0
1211,0
1211,0
1214,0
1215,0
1215,0
1218,0
1218,0
1218,0
1220,0
1220,0
1221,0
1222,1
1222,1
1222,1
1223,0
1223,0
1225,1
1227,0
1227,0
1228,0
1230,0
1230,0
1230,0
1232,0
1236,0
1238,0
1240,0
1241,1
1241,1
1243,0
1246,0
1246,0
1247,0
1247,0
1251,1
1253,1
1253,1
1253,1
1254,1
1254,1
1258,0
1259,1
1259,1
1259,1
1261,0
1262,0
1265,0
1269,0
1271,0
1271,0
1271,0
1274,1
1275,1
1276,0
1279,0
1281,0
1281,0
1283,1
1283,1
1283,1
1284,0
1284,0
1285,0
1286,0
1286,0
1293,0
1293,0
1296,0
1296,0
1297,0
1298,0
1301,1
1309,0
1309,0
