10,10,x
0,0,u
0,1,u
0,2,u
0,3,u
0,4,b
0,5,b
0,6,b
0,7,b
0,8,u
0,9,u
1,0,u
1,1,b
1,2,b
1,3,u
1,4,u
1,5,b
1,6,u
1,7,u
1,8,u
1,9,u
2,0,u
2,1,u
2,2,u
2,3,u
2,4,u
2,5,u
2,6,b
2,7,u
2,8,b
2,9,u
3,0,u
3,1,u
3,2,b
3,3,b
3,4,u
3,5,b
3,6,u
3,7,u
3,8,u
3,9,u
4,0,u
4,1,b
4,2,b
4,3,b
4,4,u
4,5,u
4,6,u
4,7,u
4,8,u
4,9,u
5,0,b
5,1,u
5,2,u
5,3,b
5,4,u
5,5,u
5,6,u
5,7,u
5,8,b
5,9,u
6,0,u
6,1,u
6,2,b
6,3,u
6,4,u
6,5,u
6,6,u
6,7,u
6,8,u
6,9,u
7,0,u
7,1,u
7,2,u
7,3,u
7,4,u
7,5,u
7,6,u
7,7,u
7,8,u
7,9,u
8,0,u
8,1,u
8,2,u
8,3,u
8,4,u
8,5,u
8,6,b
8,7,b
8,8,u
8,9,u
9,0,u
9,1,u
9,2,b
9,3,u
9,4,b
9,5,u
9,6,u
9,7,b
9,8,u
9,9,u
